year,month,day_of_month,day_of_week,fl_date,origin,origin_city_name,origin_state_nm,dep_time,taxi_out,wheels_off,wheels_on,taxi_in,cancelled,air_time,distance,weather_delay,late_aircraft_delay
2024,1,1,1,1/1/2024,JFK,"New York, NY",New York,1247.0,31.0,1318.0,1442.0,7.0,0,84.0,509,0,0
2024,1,1,1,1/1/2024,MSP,"Minneapolis, MN",Minnesota,1001.0,20.0,1021.0,1249.0,6.0,0,88.0,622,0,0
2024,1,1,1,1/1/2024,JFK,"New York, NY",New York,1411.0,21.0,1432.0,1533.0,8.0,0,61.0,288,0,0
2024,1,1,1,1/1/2024,RIC,"Richmond, VA",Virginia,1643.0,13.0,1656.0,1747.0,12.0,0,51.0,288,0,0
2024,1,1,1,1/1/2024,DTW,"Detroit, MI",Michigan,1010.0,21.0,1031.0,1016.0,4.0,0,45.0,237,0,0
2024,2,17,6,2/17/2024,SFO,"San Francisco, CA",California,829.0,17.0,846.0,940.0,8.0,0,54.0,337,0,0
2024,2,10,6,2/10/2024,ATL,"Atlanta, GA",Georgia,1053.0,13.0,1106.0,1259.0,4.0,0,113.0,853,0,0
2024,2,25,7,2/25/2024,BZN,"Bozeman, MT",Montana,1221.0,17.0,1238.0,1405.0,8.0,0,147.0,902,0,0
2024,2,19,1,2/19/2024,CLT,"Charlotte, NC",North Carolina,939.0,27.0,1006.0,1034.0,7.0,0,88.0,599,0,0
2024,1,20,6,1/20/2024,LAS,"Las Vegas, NV",Nevada,1040.0,18.0,1058.0,1532.0,4.0,0,394.0,2818,0,0
2024,2,2,5,2/2/2024,DFW,"Dallas/Fort Worth, TX",Texas,848.0,27.0,915.0,1038.0,8.0,0,83.0,631,0,0
2024,2,10,6,2/10/2024,LGA,"New York, NY",New York,959.0,15.0,1014.0,1233.0,8.0,0,139.0,950,0,0
2024,1,31,3,1/31/2024,PHX,"Phoenix, AZ",Arizona,1656.0,13.0,1709.0,2218.0,7.0,0,189.0,1569,0,0
2024,2,9,5,2/9/2024,DEN,"Denver, CO",Colorado,1340.0,26.0,1406.0,1621.0,3.0,0,75.0,516,0,0
2024,1,13,6,1/13/2024,COS,"Colorado Springs, CO",Colorado,1510.0,16.0,1526.0,1744.0,8.0,0,78.0,592,0,0
2024,2,29,4,2/29/2024,SJU,"San Juan, PR",Puerto Rico,1447.0,24.0,1511.0,1640.0,7.0,0,149.0,1045,0,0
2024,2,29,4,2/29/2024,PHX,"Phoenix, AZ",Arizona,59.0,12.0,111.0,647.0,3.0,0,216.0,1972,0,105
2024,2,29,4,2/29/2024,JAX,"Jacksonville, FL",Florida,2014.0,20.0,2034.0,2128.0,10.0,0,54.0,328,0,0
2024,2,29,4,2/29/2024,CLT,"Charlotte, NC",North Carolina,1104.0,12.0,1116.0,1210.0,7.0,0,114.0,808,0,70
2024,2,29,4,2/29/2024,MCI,"Kansas City, MO",Missouri,1307.0,13.0,1320.0,1559.0,22.0,0,99.0,808,0,104
